shift,interval,difficulty,event,shift_size,response,rt,jnd,correct,subject,experimenter,experiment,version,Unnamed: 34,answer
+,425.0,1.0,trial,16.0625,True,1.0,16.0625,True,39,MW,IPAD,1.1,,True
+,575.0,1.0,trial,16.0625,True,1.0,16.0625,True,39,MW,IPAD,1.1,,True
+,500.0,0.5,trial,8.03125,True,0.0,16.0625,True,39,MW,IPAD,1.1,,True
-,500.0,1.0,trial,16.0625,False,0.0,16.0625,True,39,MW,IPAD,1.1,,False
-,575.0,0.5,trial,8.03125,True,2.0,16.0625,False,39,MW,IPAD,1.1,,False
-,575.0,1.0,trial,16.0625,False,1.0,16.0625,True,39,MW,IPAD,1.1,,False
-,425.0,1.0,trial,16.0625,False,1.0,16.0625,True,39,MW,IPAD,1.1,,False
-,425.0,0.5,trial,8.03125,False,0.0,16.0625,True,39,MW,IPAD,1.1,,False
-,500.0,1.0,trial,16.0625,False,1.0,16.0625,True,39,MW,IPAD,1.1,,False
-,500.0,1.0,trial,16.0625,False,1.0,16.0625,True,39,MW,IPAD,1.1,,False
-,500.0,1.0,trial,16.0625,False,0.0,16.0625,True,39,MW,IPAD,1.1,,False
+,500.0,1.0,trial,16.0625,True,1.0,16.0625,True,39,MW,IPAD,1.1,,True
+,500.0,1.0,trial,16.0625,True,1.0,16.0625,True,39,MW,IPAD,1.1,,True
+,425.0,0.5,trial,8.03125,True,0.0,16.0625,True,39,MW,IPAD,1.1,,True
+,575.0,1.0,trial,16.0625,True,1.0,16.0625,True,39,MW,IPAD,1.1,,True
+,575.0,0.5,trial,8.03125,True,0.0,16.0625,True,39,MW,IPAD,1.1,,True
+,500.0,0.5,trial,8.03125,True,2.0,16.0625,True,39,MW,IPAD,1.1,,True
+,500.0,0.5,trial,8.03125,True,1.0,16.0625,True,39,MW,IPAD,1.1,,True
+,575.0,0.5,trial,8.03125,True,1.0,16.0625,True,39,MW,IPAD,1.1,,True
-,425.0,1.0,trial,16.0625,True,1.0,16.0625,False,39,MW,IPAD,1.1,,False
-,575.0,0.5,trial,8.03125,True,1.0,16.0625,False,39,MW,IPAD,1.1,,False
+,425.0,1.0,trial,16.0625,True,1.0,16.0625,True,39,MW,IPAD,1.1,,True
-,425.0,0.5,trial,8.03125,False,1.0,16.0625,True,39,MW,IPAD,1.1,,False
+,500.0,1.0,trial,16.0625,True,1.0,16.0625,True,39,MW,IPAD,1.1,,True
+,575.0,1.0,trial,16.0625,True,1.0,16.0625,True,39,MW,IPAD,1.1,,True
+,425.0,1.0,trial,16.0625,True,1.0,16.0625,True,39,MW,IPAD,1.1,,True
-,500.0,1.0,trial,16.0625,False,0.0,16.0625,True,39,MW,IPAD,1.1,,False
-,500.0,0.5,trial,8.03125,False,4.0,16.0625,True,39,MW,IPAD,1.1,,False
-,575.0,1.0,trial,16.0625,False,1.0,16.0625,True,39,MW,IPAD,1.1,,False
+,500.0,1.0,trial,16.0625,False,2.0,16.0625,False,39,MW,IPAD,1.1,,True
-,500.0,0.5,trial,8.03125,False,1.0,16.0625,True,39,MW,IPAD,1.1,,False
-,500.0,0.5,trial,8.03125,True,2.0,16.0625,False,39,MW,IPAD,1.1,,False
-,425.0,1.0,trial,16.0625,False,1.0,16.0625,True,39,MW,IPAD,1.1,,False
+,425.0,1.0,trial,16.0625,True,3.0,16.0625,True,39,MW,IPAD,1.1,,True
+,425.0,0.5,trial,8.03125,True,1.0,16.0625,True,39,MW,IPAD,1.1,,True
-,575.0,0.5,trial,8.03125,False,0.0,16.0625,True,39,MW,IPAD,1.1,,False
+,500.0,0.5,trial,8.03125,True,0.0,16.0625,True,39,MW,IPAD,1.1,,True
-,425.0,1.0,trial,16.0625,False,2.0,16.0625,True,39,MW,IPAD,1.1,,False
+,425.0,0.5,trial,8.03125,True,0.0,16.0625,True,39,MW,IPAD,1.1,,True
-,425.0,1.0,trial,16.0625,False,1.0,16.0625,True,39,MW,IPAD,1.1,,False
+,575.0,0.5,trial,8.03125,True,0.0,16.0625,True,39,MW,IPAD,1.1,,True
-,575.0,1.0,trial,16.0625,False,1.0,16.0625,True,39,MW,IPAD,1.1,,False
+,425.0,0.5,trial,8.03125,True,0.0,16.0625,True,39,MW,IPAD,1.1,,True
+,575.0,0.5,trial,8.03125,True,1.0,16.0625,True,39,MW,IPAD,1.1,,True
+,575.0,1.0,trial,38.71875,False,1.0,25.8125,False,4,MW,IPAD,1.0,,True
+,425.0,1.0,trial,38.71875,False,1.0,25.8125,False,4,MW,IPAD,1.0,,True
-,425.0,1.0,trial,38.71875,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
+,575.0,1.0,trial,25.8125,False,1.0,25.8125,False,4,MW,IPAD,1.0,,True
+,425.0,1.0,trial,25.8125,False,1.0,25.8125,False,4,MW,IPAD,1.0,,True
-,575.0,1.0,trial,38.71875,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
+,425.0,1.0,trial,38.71875,False,0.0,25.8125,False,4,MW,IPAD,1.0,,True
-,425.0,1.0,trial,38.71875,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
+,500.0,1.0,trial,25.8125,False,1.0,25.8125,False,4,MW,IPAD,1.0,,True
-,575.0,1.0,trial,38.71875,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
-,575.0,1.0,trial,38.71875,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
-,500.0,1.0,trial,38.71875,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
-,425.0,1.0,trial,25.8125,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
+,575.0,1.0,trial,38.71875,True,1.0,25.8125,True,4,MW,IPAD,1.0,,True
+,500.0,1.0,trial,38.71875,True,2.0,25.8125,True,4,MW,IPAD,1.0,,True
+,575.0,1.0,trial,25.8125,False,1.0,25.8125,False,4,MW,IPAD,1.0,,True
-,575.0,1.0,trial,25.8125,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
-,500.0,1.0,trial,25.8125,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
+,425.0,1.0,trial,25.8125,True,1.0,25.8125,True,4,MW,IPAD,1.0,,True
+,425.0,1.0,trial,25.8125,True,3.0,25.8125,True,4,MW,IPAD,1.0,,True
+,500.0,1.0,trial,25.8125,False,1.0,25.8125,False,4,MW,IPAD,1.0,,True
-,575.0,1.0,trial,25.8125,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
-,500.0,1.0,trial,25.8125,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
-,500.0,1.0,trial,25.8125,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
-,500.0,1.0,trial,38.71875,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
+,500.0,1.0,trial,38.71875,True,0.0,25.8125,True,4,MW,IPAD,1.0,,True
-,500.0,1.0,trial,25.8125,True,1.0,25.8125,False,4,MW,IPAD,1.0,,False
+,500.0,1.0,trial,38.71875,True,1.0,25.8125,True,4,MW,IPAD,1.0,,True
-,425.0,1.0,trial,25.8125,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
-,425.0,1.0,trial,25.8125,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
-,425.0,1.0,trial,38.71875,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
+,500.0,1.0,trial,38.71875,True,1.0,25.8125,True,4,MW,IPAD,1.0,,True
-,500.0,1.0,trial,25.8125,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
+,500.0,1.0,trial,25.8125,True,0.0,25.8125,True,4,MW,IPAD,1.0,,True
-,500.0,1.0,trial,38.71875,True,0.0,25.8125,False,4,MW,IPAD,1.0,,False
-,500.0,1.0,trial,38.71875,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
-,575.0,1.0,trial,38.71875,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
+,500.0,1.0,trial,38.71875,True,1.0,25.8125,True,4,MW,IPAD,1.0,,True
+,575.0,1.0,trial,38.71875,True,0.0,25.8125,True,4,MW,IPAD,1.0,,True
+,575.0,1.0,trial,38.71875,True,0.0,25.8125,True,4,MW,IPAD,1.0,,True
-,575.0,1.0,trial,25.8125,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
+,575.0,1.0,trial,25.8125,True,1.0,25.8125,True,4,MW,IPAD,1.0,,True
+,500.0,1.0,trial,25.8125,True,1.0,25.8125,True,4,MW,IPAD,1.0,,True
+,425.0,1.0,trial,38.71875,True,0.0,25.8125,True,4,MW,IPAD,1.0,,True
+,500.0,1.0,trial,25.8125,True,1.0,25.8125,True,4,MW,IPAD,1.0,,True
-,425.0,1.0,trial,25.8125,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
-,500.0,1.0,trial,38.71875,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
+,425.0,1.0,trial,38.71875,True,1.0,25.8125,True,4,MW,IPAD,1.0,,True
-,425.0,1.0,trial,25.8125,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
+,425.0,1.0,trial,38.71875,True,3.0,25.8125,True,4,MW,IPAD,1.0,,True
+,575.0,1.0,trial,25.8125,True,0.0,25.8125,True,4,MW,IPAD,1.0,,True
-,425.0,1.0,trial,38.71875,True,0.0,25.8125,False,4,MW,IPAD,1.0,,False
+,575.0,1.0,trial,25.8125,True,0.0,25.8125,True,4,MW,IPAD,1.0,,True
-,575.0,1.0,trial,38.71875,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
-,575.0,1.0,trial,25.8125,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
-,575.0,1.0,trial,25.8125,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
+,425.0,1.0,trial,25.8125,False,2.0,25.8125,False,4,MW,IPAD,1.0,,True
+,575.0,1.0,trial,38.71875,True,1.0,25.8125,True,4,MW,IPAD,1.0,,True
-,425.0,1.0,trial,38.71875,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
+,425.0,1.0,trial,25.8125,False,1.0,25.8125,False,4,MW,IPAD,1.0,,True
+,425.0,1.0,trial,25.8125,True,1.0,25.8125,True,4,MW,IPAD,1.0,,True
+,575.0,1.0,trial,25.8125,True,1.0,25.8125,True,4,MW,IPAD,1.0,,True
-,500.0,1.0,trial,25.8125,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
+,500.0,1.0,trial,25.8125,True,1.0,25.8125,True,4,MW,IPAD,1.0,,True
-,425.0,1.0,trial,38.71875,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
+,500.0,1.0,trial,25.8125,False,1.0,25.8125,False,4,MW,IPAD,1.0,,True
+,575.0,1.0,trial,25.8125,False,1.0,25.8125,False,4,MW,IPAD,1.0,,True
-,500.0,1.0,trial,38.71875,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
-,425.0,1.0,trial,38.71875,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
-,575.0,1.0,trial,25.8125,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
+,425.0,1.0,trial,38.71875,False,0.0,25.8125,False,4,MW,IPAD,1.0,,True
+,425.0,1.0,trial,25.8125,True,2.0,25.8125,True,4,MW,IPAD,1.0,,True
+,425.0,1.0,trial,25.8125,True,1.0,25.8125,True,4,MW,IPAD,1.0,,True
+,500.0,1.0,trial,38.71875,True,1.0,25.8125,True,4,MW,IPAD,1.0,,True
+,575.0,1.0,trial,38.71875,True,1.0,25.8125,True,4,MW,IPAD,1.0,,True
+,575.0,1.0,trial,38.71875,True,0.0,25.8125,True,4,MW,IPAD,1.0,,True
+,425.0,1.0,trial,38.71875,True,0.0,25.8125,True,4,MW,IPAD,1.0,,True
+,500.0,1.0,trial,38.71875,True,0.0,25.8125,True,4,MW,IPAD,1.0,,True
-,575.0,1.0,trial,25.8125,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
-,575.0,1.0,trial,38.71875,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
-,500.0,1.0,trial,38.71875,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
-,500.0,1.0,trial,25.8125,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
-,575.0,1.0,trial,38.71875,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
-,425.0,1.0,trial,25.8125,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
+,500.0,1.0,trial,38.71875,True,0.0,25.8125,True,4,MW,IPAD,1.0,,True
+,500.0,1.0,trial,25.8125,True,0.0,25.8125,True,4,MW,IPAD,1.0,,True
-,425.0,1.0,trial,38.71875,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
-,575.0,1.0,trial,38.71875,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
-,425.0,1.0,trial,38.71875,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
-,425.0,1.0,trial,25.8125,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
+,425.0,1.0,trial,38.71875,True,0.0,25.8125,True,4,MW,IPAD,1.0,,True
-,575.0,1.0,trial,25.8125,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
+,500.0,1.0,trial,38.71875,True,1.0,25.8125,True,4,MW,IPAD,1.0,,True
-,500.0,1.0,trial,25.8125,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
-,425.0,1.0,trial,25.8125,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
-,425.0,1.0,trial,38.71875,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
+,425.0,1.0,trial,25.8125,True,1.0,25.8125,True,4,MW,IPAD,1.0,,True
-,500.0,1.0,trial,25.8125,False,3.0,25.8125,True,4,MW,IPAD,1.0,,False
+,425.0,1.0,trial,25.8125,True,0.0,25.8125,True,4,MW,IPAD,1.0,,True
+,500.0,1.0,trial,38.71875,True,0.0,25.8125,True,4,MW,IPAD,1.0,,True
-,425.0,1.0,trial,25.8125,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
+,575.0,1.0,trial,38.71875,True,0.0,25.8125,True,4,MW,IPAD,1.0,,True
+,425.0,1.0,trial,38.71875,True,0.0,25.8125,True,4,MW,IPAD,1.0,,True
+,500.0,1.0,trial,25.8125,True,0.0,25.8125,True,4,MW,IPAD,1.0,,True
+,575.0,1.0,trial,25.8125,True,1.0,25.8125,True,4,MW,IPAD,1.0,,True
-,500.0,1.0,trial,38.71875,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
-,425.0,1.0,trial,25.8125,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
-,575.0,1.0,trial,38.71875,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
+,575.0,1.0,trial,38.71875,True,3.0,25.8125,True,4,MW,IPAD,1.0,,True
+,575.0,1.0,trial,38.71875,True,1.0,25.8125,True,4,MW,IPAD,1.0,,True
-,500.0,1.0,trial,38.71875,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
-,500.0,1.0,trial,25.8125,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
-,575.0,1.0,trial,25.8125,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
+,575.0,1.0,trial,25.8125,True,1.0,25.8125,True,4,MW,IPAD,1.0,,True
-,575.0,1.0,trial,38.71875,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
-,575.0,1.0,trial,25.8125,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
+,575.0,1.0,trial,25.8125,False,1.0,25.8125,False,4,MW,IPAD,1.0,,True
+,500.0,1.0,trial,25.8125,True,1.0,25.8125,True,4,MW,IPAD,1.0,,True
+,425.0,1.0,trial,38.71875,True,1.0,25.8125,True,4,MW,IPAD,1.0,,True
-,500.0,1.0,trial,38.71875,True,2.0,25.8125,False,4,MW,IPAD,1.0,,False
+,575.0,1.0,trial,38.71875,True,1.0,25.8125,True,4,MW,IPAD,1.0,,True
+,575.0,1.0,trial,38.71875,True,2.0,25.8125,True,4,MW,IPAD,1.0,,True
+,575.0,1.0,trial,38.71875,True,0.0,25.8125,True,4,MW,IPAD,1.0,,True
-,500.0,1.0,trial,38.71875,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
-,575.0,1.0,trial,25.8125,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
-,425.0,1.0,trial,25.8125,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
+,425.0,1.0,trial,25.8125,True,1.0,25.8125,True,4,MW,IPAD,1.0,,True
-,500.0,1.0,trial,38.71875,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
+,575.0,1.0,trial,25.8125,False,3.0,25.8125,False,4,MW,IPAD,1.0,,True
+,500.0,1.0,trial,25.8125,True,2.0,25.8125,True,4,MW,IPAD,1.0,,True
-,425.0,1.0,trial,38.71875,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
-,425.0,1.0,trial,25.8125,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
+,425.0,1.0,trial,25.8125,False,2.0,25.8125,False,4,MW,IPAD,1.0,,True
-,500.0,1.0,trial,25.8125,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
-,500.0,1.0,trial,38.71875,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
-,500.0,1.0,trial,38.71875,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
+,500.0,1.0,trial,25.8125,True,0.0,25.8125,True,4,MW,IPAD,1.0,,True
+,425.0,1.0,trial,25.8125,True,1.0,25.8125,True,4,MW,IPAD,1.0,,True
+,575.0,1.0,trial,38.71875,True,0.0,25.8125,True,4,MW,IPAD,1.0,,True
-,425.0,1.0,trial,38.71875,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
+,425.0,1.0,trial,38.71875,True,0.0,25.8125,True,4,MW,IPAD,1.0,,True
-,500.0,1.0,trial,25.8125,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
+,500.0,1.0,trial,25.8125,True,0.0,25.8125,True,4,MW,IPAD,1.0,,True
-,575.0,1.0,trial,38.71875,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
-,575.0,1.0,trial,25.8125,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
-,575.0,1.0,trial,25.8125,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
-,500.0,1.0,trial,25.8125,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
+,425.0,1.0,trial,38.71875,True,1.0,25.8125,True,4,MW,IPAD,1.0,,True
-,425.0,1.0,trial,38.71875,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
-,425.0,1.0,trial,38.71875,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
+,425.0,1.0,trial,25.8125,False,2.0,25.8125,False,4,MW,IPAD,1.0,,True
+,575.0,1.0,trial,38.71875,True,1.0,25.8125,True,4,MW,IPAD,1.0,,True
-,575.0,1.0,trial,38.71875,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
-,500.0,1.0,trial,25.8125,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
+,500.0,1.0,trial,25.8125,True,0.0,25.8125,True,4,MW,IPAD,1.0,,True
+,425.0,1.0,trial,25.8125,True,1.0,25.8125,True,4,MW,IPAD,1.0,,True
-,575.0,1.0,trial,38.71875,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
+,500.0,1.0,trial,38.71875,True,1.0,25.8125,True,4,MW,IPAD,1.0,,True
-,500.0,1.0,trial,25.8125,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
+,425.0,1.0,trial,38.71875,True,1.0,25.8125,True,4,MW,IPAD,1.0,,True
+,575.0,1.0,trial,25.8125,True,0.0,25.8125,True,4,MW,IPAD,1.0,,True
-,425.0,1.0,trial,25.8125,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
-,575.0,1.0,trial,38.71875,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
+,500.0,1.0,trial,38.71875,True,1.0,25.8125,True,4,MW,IPAD,1.0,,True
-,425.0,1.0,trial,25.8125,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
-,575.0,1.0,trial,25.8125,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
-,425.0,1.0,trial,25.8125,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
-,425.0,1.0,trial,38.71875,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
+,500.0,1.0,trial,38.71875,True,0.0,25.8125,True,4,MW,IPAD,1.0,,True
+,500.0,1.0,trial,25.8125,True,0.0,25.8125,True,4,MW,IPAD,1.0,,True
+,500.0,1.0,trial,38.71875,True,0.0,25.8125,True,4,MW,IPAD,1.0,,True
+,425.0,1.0,trial,38.71875,True,0.0,25.8125,True,4,MW,IPAD,1.0,,True
+,425.0,1.0,trial,38.71875,True,0.0,25.8125,True,4,MW,IPAD,1.0,,True
+,575.0,1.0,trial,25.8125,True,0.0,25.8125,True,4,MW,IPAD,1.0,,True
+,500.0,1.0,trial,38.71875,True,1.0,25.8125,True,4,MW,IPAD,1.0,,True
+,575.0,1.0,trial,25.8125,True,1.0,25.8125,True,4,MW,IPAD,1.0,,True
-,575.0,1.0,trial,25.8125,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
-,500.0,1.0,trial,38.71875,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
-,575.0,1.0,trial,38.71875,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
+,575.0,1.0,trial,25.8125,True,1.0,25.8125,True,4,MW,IPAD,1.0,,True
+,575.0,1.0,trial,38.71875,True,1.0,25.8125,True,4,MW,IPAD,1.0,,True
-,575.0,1.0,trial,38.71875,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
+,500.0,1.0,trial,38.71875,True,0.0,25.8125,True,4,MW,IPAD,1.0,,True
+,575.0,1.0,trial,38.71875,True,1.0,25.8125,True,4,MW,IPAD,1.0,,True
-,500.0,1.0,trial,38.71875,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
-,500.0,1.0,trial,38.71875,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
-,425.0,1.0,trial,38.71875,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
-,425.0,1.0,trial,25.8125,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
-,575.0,1.0,trial,38.71875,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
+,425.0,1.0,trial,25.8125,True,1.0,25.8125,True,4,MW,IPAD,1.0,,True
-,575.0,1.0,trial,38.71875,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
+,500.0,1.0,trial,25.8125,True,1.0,25.8125,True,4,MW,IPAD,1.0,,True
-,575.0,1.0,trial,38.71875,True,2.0,25.8125,False,4,MW,IPAD,1.0,,False
+,425.0,1.0,trial,38.71875,True,1.0,25.8125,True,4,MW,IPAD,1.0,,True
-,425.0,1.0,trial,25.8125,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
-,500.0,1.0,trial,25.8125,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
+,500.0,1.0,trial,38.71875,True,0.0,25.8125,True,4,MW,IPAD,1.0,,True
-,575.0,1.0,trial,25.8125,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
-,500.0,1.0,trial,38.71875,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
+,575.0,1.0,trial,25.8125,True,0.0,25.8125,True,4,MW,IPAD,1.0,,True
-,500.0,1.0,trial,38.71875,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
-,575.0,1.0,trial,25.8125,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
+,575.0,1.0,trial,25.8125,True,1.0,25.8125,True,4,MW,IPAD,1.0,,True
-,575.0,1.0,trial,25.8125,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
-,500.0,1.0,trial,25.8125,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
+,425.0,1.0,trial,25.8125,True,0.0,25.8125,True,4,MW,IPAD,1.0,,True
+,575.0,1.0,trial,38.71875,True,1.0,25.8125,True,4,MW,IPAD,1.0,,True
-,425.0,1.0,trial,38.71875,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
+,425.0,1.0,trial,38.71875,True,0.0,25.8125,True,4,MW,IPAD,1.0,,True
-,575.0,1.0,trial,25.8125,False,4.0,25.8125,True,4,MW,IPAD,1.0,,False
+,500.0,1.0,trial,25.8125,True,0.0,25.8125,True,4,MW,IPAD,1.0,,True
+,500.0,1.0,trial,25.8125,True,4.0,25.8125,True,4,MW,IPAD,1.0,,True
-,575.0,1.0,trial,25.8125,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
-,575.0,1.0,trial,38.71875,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
+,500.0,1.0,trial,38.71875,True,7.0,25.8125,True,4,MW,IPAD,1.0,,True
-,425.0,1.0,trial,38.71875,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
-,500.0,1.0,trial,25.8125,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
+,575.0,1.0,trial,38.71875,True,1.0,25.8125,True,4,MW,IPAD,1.0,,True
-,425.0,1.0,trial,38.71875,False,1.0,25.8125,True,4,MW,IPAD,1.0,,False
-,500.0,1.0,trial,25.8125,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
-,425.0,1.0,trial,38.71875,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
-,500.0,1.0,trial,25.8125,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
+,425.0,1.0,trial,38.71875,True,0.0,25.8125,True,4,MW,IPAD,1.0,,True
+,425.0,1.0,trial,25.8125,True,1.0,25.8125,True,4,MW,IPAD,1.0,,True
-,425.0,1.0,trial,25.8125,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
-,425.0,1.0,trial,25.8125,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
+,575.0,1.0,trial,25.8125,True,1.0,25.8125,True,4,MW,IPAD,1.0,,True
+,500.0,1.0,trial,38.71875,True,0.0,25.8125,True,4,MW,IPAD,1.0,,True
-,425.0,1.0,trial,25.8125,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
+,425.0,1.0,trial,25.8125,True,0.0,25.8125,True,4,MW,IPAD,1.0,,True
+,500.0,1.0,trial,38.71875,True,1.0,25.8125,True,4,MW,IPAD,1.0,,True
+,500.0,1.0,trial,25.8125,True,1.0,25.8125,True,4,MW,IPAD,1.0,,True
+,500.0,1.0,trial,25.8125,True,0.0,25.8125,True,4,MW,IPAD,1.0,,True
+,575.0,1.0,trial,38.71875,True,0.0,25.8125,True,4,MW,IPAD,1.0,,True
+,575.0,1.0,trial,25.8125,True,1.0,25.8125,True,4,MW,IPAD,1.0,,True
+,575.0,1.0,trial,25.8125,True,1.0,25.8125,True,4,MW,IPAD,1.0,,True
+,425.0,1.0,trial,38.71875,True,0.0,25.8125,True,4,MW,IPAD,1.0,,True
+,425.0,1.0,trial,38.71875,True,0.0,25.8125,True,4,MW,IPAD,1.0,,True
-,500.0,1.0,trial,38.71875,False,0.0,25.8125,True,4,MW,IPAD,1.0,,False
+,425.0,1.0,trial,25.8125,True,0.0,25.8125,True,4,MW,IPAD,1.0,,True
+,500.0,1.0,trial,6.9375,True,1.0,6.9375,True,40,mw,IPAD,1.1,,True
-,425.0,1.0,trial,6.9375,False,1.0,6.9375,True,40,mw,IPAD,1.1,,False
-,575.0,1.0,trial,6.9375,False,1.0,6.9375,True,40,mw,IPAD,1.1,,False
-,575.0,1.0,trial,6.9375,False,1.0,6.9375,True,40,mw,IPAD,1.1,,False
-,425.0,0.5,trial,3.46875,False,1.0,6.9375,True,40,mw,IPAD,1.1,,False
+,575.0,0.5,trial,3.46875,True,0.0,6.9375,True,40,mw,IPAD,1.1,,True
